round,institute,program,quota,category,opening_rank,closing_rank
Round 1,Asansol Engineering College,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,SC,85295,89470
Round 1,Elitte College of Engineering,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,1147835,1147835
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,4939,6224
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,EWS,14673,20327
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,53312,59860
Round 1,Future Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,357216,912408
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,ST,71292,71292
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,SC,10419,10419
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,EWS,18622,32551
Round 1,Sister Nivedita University,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,266827,712332
Round 1,Asansol Engineering College,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,96400,279754
Round 1,Future Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),All India,Open,28136,86900
Round 1,Sister Nivedita University,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),All India,Open,94812,94812
Round 1,Maulana Abul Kalam Azad University of Technology,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Home State,SC,11807,17794
Round 1,Maulana Abul Kalam Azad University of Technology,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),All India,Open,1525,6146
Round 1,Maulana Abul Kalam Azad University of Technology,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Home State,OBC - A,7467,14200
Round 1,Sister Nivedita University,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),All India,Open,1119081,1119081
Round 1,Maulana Abul Kalam Azad University of Technology,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Home State,EWS,6757,12699
Round 1,Maulana Abul Kalam Azad University of Technology,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Home State,ST,57709,70320
Round 1,Maulana Abul Kalam Azad University of Technology,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Home State,OBC - B,7134,8053
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI) -TFW,Home State,Tuition Fee Waiver,9678,9678
Round 1,Ideal Institute of Engineering,Computer Science & Engineering,All India,Open,87463,402967
Round 1,Mckv Institute of Engineering,Computer Science & Engineering,All India,Open,9748,37194
Round 1,Meghnad Saha Institute of Technology,Computer Science & Engineering,Home State,EWS,41969,109829
Round 1,Pailan College of Management & Technology,Computer Science & Engineering,All India,Open,42928,98586
Round 1,Rcc Institute of Information Technology,Computer Science & Engineering,Home State,Open (PwD),99059,99059
Round 1,Sanaka Education Trusts Group of Institutions,Computer Science & Engineering,Home State,OBC - B,107261,109586
Round 1,Institute of Science and Technology,Computer Science & Engineering,Home State,OBC - B,102716,102716
Round 1,Murshidabad College of Engineering & Technology,Computer Science & Engineering,All India,Open,19067,55810
Round 1,Jadavpur University,Computer Science & Engineering,Home State,OBC - B,176,223
Round 1,UNIVERSITY OF KALYANI,Computer Science & Engineering,Home State,OBC - B,3034,3565
Round 1,Heritage Institute of Technology,Computer Science & Engineering,All India,Open,714,44690
Round 1,Heritage Institute of Technology,Computer Science & Engineering,Home State,ST,21915,21915
Round 1,Hooghly Engineering & Technology College,Computer Science & Engineering,Home State,Open (PwD),105455,105455
Round 1,Imps College of Engineering & Technology,Computer Science & Engineering,All India,Open,32437,95520
Round 1,Murshidabad College of Engineering & Technology,Computer Science & Engineering,Home State,EWS,74353,84819
Round 1,Narula Institute of Technology,Computer Science & Engineering,Home State,ST,86689,88800
Round 1,University Of Calcutta,Computer Science & Engineering,Home State,Open,510,830
Round 1,UNIVERSITY OF KALYANI,Computer Science & Engineering,Home State,SC,2649,11195
Round 1,Guru Nanak Institute of Technology,Computer Science & Engineering,Home State,ST,88682,94134
Round 1,Swami Vivekananda University,Computer Science & Engineering,Home State,OBC - A,58893,86504
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,Home State,EWS,12813,13527
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,Home State,Open (PwD),36677,36677
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,Home State,SC,3233,11302
Round 1,Swami Vivekananda University,Computer Science & Engineering,All India,Open,8115,55654
Round 1,Future Institute of Engineering & Management,Computer Science & Engineering,All India,Open,9080,46597
Round 1,Guru Nanak Institute of Technology,Computer Science & Engineering,All India,Open,746,35211
Round 1,St. Thomas College of Engineering & Technology,Computer Science & Engineering,Home State,EWS,28071,105732
Round 1,Rcc Institute of Information Technology,Computer Science & Engineering,Home State,EWS,23005,103687
Round 1,Regent Education and Research Foundation,Computer Science & Engineering,All India,Open,466182,1217678
Round 1,Seacom Engineering College,Computer Science & Engineering,All India,Open,557325,780578
Round 1,Supreme Knowledge Foundation Group of Institutions,Computer Science & Engineering,All India,Open,419019,1112077
Round 1,Swami Vivekananda Institute of Science & Technology,Computer Science & Engineering,All India,Open,15900,95891
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering,Home State,EWS,15761,66638
Round 1,Techno Engineering Collge Banipur,Computer Science & Engineering,All India,Open,44229,93671
Round 1,Adamas University,Computer Science & Engineering,All India,Open,93183,528773
Round 1,Jadavpur University,Computer Science & Engineering,Home State,OBC - A,93,450
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Computer Science & Engineering,Home State,ST,37737,55374
Round 1,University Of Calcutta,Computer Science & Engineering,Home State,SC,1811,3237
Round 1,UNIVERSITY OF KALYANI,Computer Science & Engineering,All India,Open,1041,2044
Round 1,Haldia Institute of Technology,Electrical Engineering,Home State,Tuition Fee Waiver,10886,16871
Round 1,Heritage Institute of Technology,Electrical Engineering,Home State,Tuition Fee Waiver,4415,6879
Round 1,Jis College of Engineering,Electrical Engineering,Home State,Tuition Fee Waiver,23240,32363
Round 1,Guru Nanak Institute of Technology,Electrical Engineering,Home State,Tuition Fee Waiver,23986,23986
Round 1,Kalyani Goverment Engineering College,Electrical Engineering,Home State,Tuition Fee Waiver,2150,2723
Round 1,College of Engineering and Management,Electrical Engineering,Home State,Tuition Fee Waiver,23792,32031
Round 1,Jadavpur University,Electrical Engineering,Home State,Tuition Fee Waiver,525,792
Round 1,Rcc Institute of Information Technology,Electrical Engineering,Home State,Tuition Fee Waiver,15578,22110
Round 1,Jalpaiguri Goverment Engineering College,Electrical Engineering,Home State,Tuition Fee Waiver,2708,3028
Round 1,Techno India University,Electrical Engineering,Home State,Tuition Fee Waiver,8700,8700
Round 1,Narula Institute of Technology,Electrical Engineering,Home State,Tuition Fee Waiver,17500,19036
Round 1,Future Institute of Engineering & Management,Information Technology,Home State,Tuition Fee Waiver,22067,23189
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,Home State,SC,11973,16196
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Computer Science & Engineering,All India,Open,1610,6110
Round 1,University Of Calcutta,Computer Science & Engineering,Home State,EWS,870,1337
Round 1,University Of Calcutta,Computer Science & Engineering,Home State,Open (PwD),8972,8972
Round 1,UNIVERSITY OF KALYANI,Computer Science & Engineering,Home State,ST,36295,42702
Round 1,Adamas University,Computer Science & Engineering,All India,Open,10679,111134
Round 1,Techno India University,Computer Science & Engineering,All India,Open,25634,70894
Round 1,Jadavpur University,Computer Science & Engineering,All India,Open,2,19
Round 1,Sanaka Education Trusts Group of Institutions,Computer Science & Engineering,All India,Open,392027,1262924
Round 1,Swami Vivekananda Institute of Science & Technology,Computer Science & Engineering,Home State,EWS,103698,103698
Round 1,Murshidabad College of Engineering & Technology,Computer Science & Engineering,Home State,OBC - B,57482,85860
Round 1,Narula Institute of Technology,Computer Science & Engineering,All India,Open,916,149720
Round 1,Techno International Batanagar,Computer Science & Engineering,All India,Open,114508,512209
Round 1,Haldia Institute of Technology,Computer Science & Engineering,All India,Open,6668,13211
Round 1,Heritage Institute of Technology,Computer Science & Engineering,Home State,EWS,3606,8272
Round 1,Jis University,Computer Science & Engineering,All India,Open,12481,110100
Round 1,Seacom Skills University,Computer Science & Engineering,All India,Open,39050,78485
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering,All India,Open,18673,84670
Round 1,Rcc Institute of Information Technology,Computer Science & Engineering,All India,Open,4867,22495
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,Home State,OBC - B,2972,4573
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,Home State,SC (PwD),110068,110068
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Computer Science & Engineering,Home State,OBC - B,7559,8500
Round 1,UNIVERSITY OF KALYANI,Computer Science & Engineering,Home State,OBC - A,5749,6612
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,Home State,Open (PwD),38563,39724
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Computer Science & Engineering,Home State,OBC - A,6135,14728
Round 1,Aliah University,Computer Science & Engineering,Home State,Open,2365,5153
Round 1,Swami Vivekananda University,Computer Science & Engineering,All India,Open,125454,283537
