round,institute,program,quota,category,opening_rank,closing_rank
Round 1,Heritage Institute of Technology,Civil Engineering,Home State,EWS,62151,84441
Round 1,Jis College of Engineering,Civil Engineering,All India,Open,275101,450493
Round 1,Adamas University,Civil Engineering,All India,Open,30204,78210
Round 1,Techno India University,Civil Engineering,All India,Open,11127,108510
Round 1,Jadavpur University,Civil Engineering,Home State,Open,986,1594
Round 1,Jadavpur University,Civil Engineering,Home State,ST,9643,28824
Round 1,University Of Calcutta,Electrical Engineering,Home State,OBC - A,4903,5097
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,Home State,Open,7518,16265
Round 1,Hooghly Engineering & Technology College,Electrical Engineering,All India,Open,26747,111027
Round 1,Jadavpur University,Electrical Engineering,Home State,OBC - A (PwD),23584,23584
Round 1,Jadavpur University,Electrical Engineering,Home State,ST,15229,18013
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Electrical Engineering,Home State,SC,13523,26818
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Electrical Engineering,Home State,ST,64110,86806
Round 1,Jalpaiguri Goverment Engineering College,Electrical Engineering,Home State,OBC - B,3540,3812
Round 1,Jalpaiguri Goverment Engineering College,Electrical Engineering,Home State,Open,1857,3446
Round 1,Ramkrishna Mahato Government Engineering College,Electrical Engineering,Home State,OBC - B,11055,11791
Round 1,Ramkrishna Mahato Government Engineering College,Electrical Engineering,Home State,Open,5334,10945
Round 1,Heritage Institute of Technology,Electrical Engineering,Home State,EWS,16271,34889
Round 1,Swami Vivekananda Institute of Science & Technology,Mechanical Engineering,All India,Open,32821,110405
Round 1,Mckv Institute of Engineering,Mechanical Engineering,All India,Open,43204,103136
Round 1,Jadavpur University,Mechanical Engineering,Home State,EWS,886,1234
Round 1,Jadavpur University,Mechanical Engineering,Home State,OBC - A (PwD),60585,60585
Round 1,Netaji Subhas Engineering College,Mechanical Engineering,All India,Open,31231,108638
Round 1,Techno Engineering Collge Banipur,Mechanical Engineering,All India,Open,46592,89767
Round 1,Swami Vivekananda University,Mechanical Engineering,All India,Open,33189,97312
Round 1,Adamas University,Mechanical Engineering,All India,Open,295030,772058
Round 1,Techno India University,Mechanical Engineering,All India,Open,269948,339563
Round 1,Jadavpur University,Mechanical Engineering,Home State,SC,3491,4992
Round 1,Jadavpur University,Mechanical Engineering,Home State,ST,12092,22147
Round 1,Hemnalini Memorial College of Engineering,Mechanical Engineering,All India,Open,43889,77152
Round 1,Jadavpur University,Mechanical Engineering,Home State,OBC - B,934,1013
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE & ENGINEERING (NETWORKS) - TFW,Home State,Tuition Fee Waiver,5743,10340
Round 1,Techno International New Town,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,48947,256312
Round 1,Netaji Subhas Engineering College,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,111319,115315
Round 1,Sister Nivedita University,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,262698,916467
Round 1,Meghnad Saha Institute of Technology,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,9873,57262
Round 1,Sister Nivedita University,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,39284,106974
Round 1,Netaji Subhas Engineering College,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,13566,28648
Round 1,Techno International New Town,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,16880,82916
Round 1,Meghnad Saha Institute of Technology,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,All India,Open,161320,290651
Round 1,Meghnad Saha Institute of Technology,ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE,Home State,EWS,76472,92515
Round 1,Jadavpur University,Instrumentation & Electronics,Home State,Tuition Fee Waiver,630,729
Round 1,Techno India University,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,4153,8846
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,6908,6908
Round 1,Bankura Unnayani Institute of Engineering,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,24508,26311
Round 1,St. Thomas College of Engineering & Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,4270,10395
Round 1,Budge Budge Institute of Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,17987,29442
Round 1,Gargi Memorial Institute of Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,25975,34943
Round 1,Global Institute of Management and Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,38671,39007
Round 1,Haldia Institute of Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,3864,6350
Round 1,Swami Vivekananda University,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,17811,23568
Round 1,Govt. College of Engineering & Ceramic Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,3001,3116
Round 1,Bengal College of Engineering & Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,14735,23615
Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,21978,28759
Round 1,Techno International New Town,Computer Science & Engineering (Cyber Security),Home State,Tuition Fee Waiver,19328,20968
Round 1,Techno Main Salt Lake,Computer Science & Engineering (Cyber Security),Home State,Tuition Fee Waiver,5762,6337
Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex,Computer Science & Engineering (Cyber Security),Home State,Tuition Fee Waiver,30480,31581
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (Cyber Security),Home State,Tuition Fee Waiver,8086,9474
Round 1,Dr. B. C. Roy Engineering College,Computer Science & Engineering (Cyber Security),Home State,Tuition Fee Waiver,19576,21942
Round 1,Sister Nivedita University,Computer Science & Engineering (Cyber Security),Home State,Tuition Fee Waiver,23825,24060
Round 1,Jadavpur University,Construction Engineering,All India,Open,1019,1175
Round 1,Jadavpur University,Construction Engineering,Home State,Open (PwD),70729,70729
Round 1,Jadavpur University,Construction Engineering,Home State,EWS,2106,2111
Round 1,Jadavpur University,Construction Engineering,Home State,Open,1372,1930
Round 1,Jadavpur University,Construction Engineering,Home State,OBC - A,5777,6311
Round 1,Jadavpur University,Construction Engineering,Home State,OBC - B,2465,2654
Round 1,Jis College of Engineering,Electrical Engineering,All India,Open,23421,110473
Round 1,Nshm Knowledge Campus,Electrical Engineering,All India,Open,32382,103477
Round 1,St. Thomas College of Engineering & Technology,Electrical Engineering,All India,Open,222304,249890
Round 1,Techno International New Town,Electrical Engineering,All India,Open,30235,98255
Round 1,Ghani Khan Choudhury Institute of Engineering & Technology,Electrical Engineering,Home State,OBC - A,20039,21543
Round 1,Camellia Institute of Technology & Management,Electrical Engineering,All India,Open,29412,94880
Round 1,Durgapur Institute of Advanced Technology & Management,Electrical Engineering,All India,Open,329438,690866
Round 1,Elitte College of Engineering,Electrical Engineering,All India,Open,969917,969917
Round 1,Mallabhum Institute of Technology,Electrical Engineering,All India,Open,25068,107652
Round 1,Rcc Institute of Information Technology,Electrical Engineering,Home State,SC,109908,109908
Round 1,Adamas University,Electrical Engineering,All India,Open,297456,1042904
Round 1,University Of Calcutta,Electrical Engineering,All India,Open,1055,1162
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,Home State,SC,22133,26250
Round 1,Cooch Behar Government Engineering College,Civil Engineering,Home State,OBC - A,18860,24551
Round 1,Asansol Engineering College,Civil Engineering,Home State,SC,102506,103076
Round 1,Gargi Memorial Institute of Technology,Civil Engineering,All India,Open,31167,78539
Round 1,Adamas University,Civil Engineering,All India,Open,574295,744561
Round 1,Jadavpur University,Civil Engineering,Home State,SC,4037,8211
Round 1,Jalpaiguri Goverment Engineering College,Civil Engineering,Home State,Open (PwD),51496,51496
Round 1,Ramkrishna Mahato Government Engineering College,Civil Engineering,Home State,SC,21799,29074
Round 1,Bankura Unnayani Institute of Engineering,Civil Engineering,All India,Open,321657,675092
Round 1,Calcutta Institute of Engineering & Management,Civil Engineering,All India,Open,15459,110942
Round 1,Future Institute of Technology,Civil Engineering,All India,Open,1142441,1142441
Round 1,Global Institute of Management and Technology,Civil Engineering,All India,Open,33610,70956
Round 1,Haldia Institute of Technology,Civil Engineering,All India,Open,15193,68698
Round 1,Haldia Institute of Technology,Civil Engineering,Home State,OBC - A,84814,84814
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,All India,Open,4323,7966
Round 1,Sister Nivedita University,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,All India,Open,245271,894229
Round 1,University Of Calcutta,Jute & Fibre Technology,Home State,Tuition Fee Waiver,5113,9128
Round 1,Jadavpur University,Architectural Engineering,Home State,SC,10772,22703
Round 1,Jadavpur University,Architectural Engineering,Home State,OBC - A,13168,22591
Round 1,Jadavpur University,Architectural Engineering,Home State,OBC - B,10420,13935
Round 1,Jadavpur University,Architectural Engineering,Home State,Open (PwD),50286,50286
Round 1,Jadavpur University,Architectural Engineering,Home State,ST,33404,43886
Round 1,Jadavpur University,Architectural Engineering,All India,Open,1222,1511
Round 1,Jadavpur University,Architectural Engineering,Home State,Open,2664,8507
Round 1,Nshm Knowledge Campus,Computer Science & Engineering (Artificial Intelligence),All India,Open,301500,1162163
Round 1,Budge Budge Institute of Technology,Computer Science & Engineering (Artificial Intelligence),All India,Open,20232,110771
Round 1,Jadavpur University,Production Engineering,Home State,OBC - B,1189,1428
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,Home State,ST,74784,87070
Round 1,Calcutta Institute of Technology,Electrical Engineering,All India,Open,2383,93511
Round 1,College of Engineering and Management,Electrical Engineering,All India,Open,18110,110410
Round 1,Dr. B. C. Roy Engineering College,Electrical Engineering,All India,Open,388884,1182623
Round 1,Haldia Institute of Technology,Electrical Engineering,All India,Open,63153,130937
Round 1,Heritage Institute of Technology,Electrical Engineering,All India,Open,6953,12548
Round 1,Ramkrishna Mahato Government Engineering College,Electrical Engineering,Home State,EWS,12965,15819
Round 1,Academy of Technology,Electrical Engineering,All India,Open,123614,256806
Round 1,Institute of Science and Technology,Electrical Engineering,All India,Open,35653,35653
Round 1,Jadavpur University,Electrical Engineering,Home State,Open (PwD),15758,18176
Round 1,University Of Calcutta,Electrical Engineering,Home State,OBC - B,1730,1730
Round 1,Jadavpur University,Electrical Engineering,Home State,OBC - B,605,927
Round 1,Jadavpur University,Electrical Engineering,Home State,OBC - B (PwD),18599,18599
Round 1,Rcc Institute of Information Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,7644,12318
Round 1,Abacus Institute of Engineering & Management,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,14060,21059
Round 1,Techno Engineering Collge Banipur,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,26214,35756
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,2604,2967
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Computer Science & Engineering - TFW,Home State,Tuition Fee Waiver,3502,6214
Round 1,Netaji Subhas Engineering College,Biomedical Engineering,Home State,Tuition Fee Waiver,18891,26691
Round 1,Jis College of Engineering,Biomedical Engineering,Home State,Tuition Fee Waiver,33683,34705
Round 1,Jadavpur University,Metallurgical Engineering,Home State,Tuition Fee Waiver,1411,1630
Round 1,Govt. College of Engg. & Textile Technology,Textile Technology,Home State,Tuition Fee Waiver,11725,13880
Round 1,Govt. College of Engineering & Textile Technology,Textile Technology,Home State,Tuition Fee Waiver,7683,10778
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,OBC - A,13670,21347
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,SC,14513,24078
Round 1,Regent Education and Research Foundation,Mechanical Engineering,All India,Open,45918,45918
Round 1,Techno Main Salt Lake,Mechanical Engineering,Home State,EWS,56270,103380
Round 1,Techno India University,Mechanical Engineering,All India,Open,19682,97702
Round 1,Techno International New Town,Mechanical Engineering,All India,Open,265640,785117
Round 1,Techno Main Salt Lake,Mechanical Engineering,All India,Open,17129,51007
Round 1,Jadavpur University,Mechanical Engineering,All India,Open,224,508
Round 1,Jadavpur University,Mechanical Engineering,Home State,OBC - B (PwD),63243,63243
Round 1,Ideal Institute of Engineering,Mechanical Engineering,All India,Open,41659,89460
Round 1,Techno International New Town,Mechanical Engineering,All India,Open,71887,95171
Round 1,Swami Vivekananda University,Mechanical Engineering,All India,Open,611101,737342
Round 1,Heritage Institute of Technology,Mechanical Engineering,All India,Open,8670,22061
Round 1,Narula Institute of Technology,Mechanical Engineering,All India,Open,39171,103956
Round 1,Netaji Subhas Engineering College,Mechanical Engineering,All India,Open,282285,516738
Round 1,Jadavpur University,Construction Engineering,Home State,ST,35838,39238
Round 1,Jadavpur University,Construction Engineering,Home State,SC,8240,9203
Round 1,Techno International New Town,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,24905,28728
Round 1,Techno Main Salt Lake,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,7670,7670
Round 1,Guru Nanak Institute of Technology,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,26155,27238
Round 1,Asansol Engineering College,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,25420,29241
Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,34472,37739
Round 1,Narula Institute of Technology,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,17043,17043
Round 1,Meghnad Saha Institute of Technology,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,16331,19964
Round 1,Siliguri Institute of Technology,ELECTRONICS & COMPUTER SCIENCE - TFW,Home State,Tuition Fee Waiver,28079,32796
Round 1,Sister Nivedita University,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,Tuition Fee Waiver,26443,28803
Round 1,Asansol Engineering College,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,Tuition Fee Waiver,19742,22557
Round 1,Narula Institute of Technology,Civil Engineering,All India,Open,261772,706287
Round 1,Nshm Knowledge Campus,Civil Engineering,All India,Open,105633,105633
Round 1,Techno International New Town,Civil Engineering,All India,Open,41734,99900
Round 1,Cooch Behar Government Engineering College,Civil Engineering,Home State,SC,17765,26491
Round 1,Camellia Institute of Technology & Management,Civil Engineering,All India,Open,145493,145493
Round 1,Dream Institute of Technology,Civil Engineering,All India,Open,31362,31362
Round 1,Calcutta Institute of Technology,Civil Engineering,All India,Open,38183,110682
Round 1,Future Institute of Technology,Civil Engineering,All India,Open,42450,99756
Round 1,Heritage Institute of Technology,Civil Engineering,All India,Open,5687,27759
Round 1,Ideal Institute of Engineering,Civil Engineering,All India,Open,178447,366366
Round 1,Meghnad Saha Institute of Technology,Civil Engineering,All India,Open,19252,96228
Round 1,Netaji Subhas Engineering College,Civil Engineering,All India,Open,291138,405258
Round 1,Techno Main Salt Lake,Civil Engineering,All India,Open,12354,68707
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (Artificial Intelligence),Home State,EWS,10350,17518
Round 1,Budge Budge Institute of Technology,Computer Science & Engineering (Artificial Intelligence),All India,Open,253350,544208
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (Artificial Intelligence),All India,Open,2183,7507
Round 1,Nshm Knowledge Campus,Computer Science & Engineering (Artificial Intelligence),All India,Open,41377,106478
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE & ENGINEERING (NETWORKS),All India,Open,13402,15923
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE & ENGINEERING (NETWORKS),Home State,EWS,50092,58490
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering ,Home State,Tuition Fee Waiver,265,514
Round 1,Sister Nivedita University,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY-TFW,Home State,Tuition Fee Waiver,20412,27764
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY-TFW,Home State,Tuition Fee Waiver,5873,6226
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE & ENGINEERING (ROBOTICS AND ARTIFICIAL INTELLIGENCE),All India,Open,4998,13192
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,COMPUTER SCIENCE & ENGINEERING (ROBOTICS AND ARTIFICIAL INTELLIGENCE),Home State,EWS,28734,51611
Round 1,B.P. Poddar Institute of Management & Technology,Electronics & Communication Engineering,All India,Open,9903,65048
Round 1,Gargi Memorial Institute of Technology,Electronics & Communication Engineering,All India,Open,727317,942238
Round 1,Techno International Batanagar,Electronics & Communication Engineering,All India,Open,110314,110314
Round 1,University Of Calcutta,Electronics & Communication Engineering,Home State,OBC - B,1533,1607
Round 1,Jalpaiguri Goverment Engineering College,Electronics & Communication Engineering,Home State,OBC - A,6420,7408
Round 1,Jalpaiguri Goverment Engineering College,Electronics & Communication Engineering,Home State,OBC - B,3128,3228
Round 1,Academy of Technology,Electronics & Communication Engineering,All India,Open,9640,34103
Round 1,Calcutta Institute of Technology,Electronics & Communication Engineering,All India,Open,170916,442221
Round 1,Dr. B. C. Roy Engineering College,Electronics & Communication Engineering,All India,Open,33240,110294
Round 1,Heritage Institute of Technology,Electronics & Communication Engineering,Home State,ST,68942,68942
Round 1,Meghnad Saha Institute of Technology,Electronics & Communication Engineering,All India,Open,240218,340035
Round 1,Rcc Institute of Information Technology,Electronics & Communication Engineering,Home State,SC,45091,103896
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,ST,28299,60380
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,Open (PwD),107922,107922
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,OBC - B,12895,14722
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,EWS,12240,18576
Round 1,Goverment College of Engineering and Leather Technology,Leather Technology,Home State,Open,3442,11216
Round 1,Guru Nanak Institute of Technology,Food Technology,Home State,SC,41995,47716
Round 1,Haldia Institute of Technology,Food Technology,All India,Open,247365,491219
Round 1,Ghani Khan Choudhury Institute of Engineering & Technology,Food Technology,Home State,OBC - A,19459,23351
Round 1,Haldia Institute of Technology,Food Technology,Home State,OBC - A,71619,103337
Round 1,Ghani Khan Choudhury Institute of Engineering & Technology,Food Technology,Home State,Open (PwD),72460,72460
Round 1,Ghani Khan Choudhury Institute of Engineering & Technology,Food Technology,Home State,OBC - B,18524,18736
Round 1,Techno Main Salt Lake,Food Technology,All India,Open,9511,41355
Round 1,Swami Vivekananda Institute of Science & Technology,Electronics & Communication Engineering,All India,Open,777928,1157431
Round 1,Techno Main Salt Lake,Electronics & Communication Engineering,All India,Open,26689,31863
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Electronics & Communication Engineering,Home State,OBC - B,10228,11966
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electronics & Communication Engineering,Home State,Open (PwD),70448,70448
Round 1,Ramkrishna Mahato Government Engineering College,Electronics & Communication Engineering,Home State,ST,55606,62367
Round 1,Abacus Institute of Engineering & Management,Electronics & Communication Engineering,Home State,SC,75814,75814
Round 1,Bengal College of Engineering & Technology,Electronics & Communication Engineering,All India,Open,102903,862444
Round 1,Bengal Institute of Technology,Electronics & Communication Engineering,All India,Open,16655,74437
Round 1,Future Institute of Technology,Electronics & Communication Engineering,All India,Open,52666,110270
Round 1,Heritage Institute of Technology,Electronics & Communication Engineering,All India,Open,2243,8851
Round 1,Netaji Subhas Engineering College,Electronics & Communication Engineering,All India,Open,94249,178515
Round 1,Rcc Institute of Information Technology,Electronics & Communication Engineering,All India,Open,156634,274754
Round 1,Sanaka Education Trusts Group of Institutions,Mechanical Engineering,All India,Open,19286,108246
Round 1,Jadavpur University,Mechanical Engineering,Home State,Open (PwD),25569,49894
Round 1,Aliah University,Mechanical Engineering,Home State,Open,8625,14569
Round 1,Techno Main Salt Lake,Computer Science & Engineering,All India,Open,14,4249
Round 1,Nshm Knowledge Campus,Computer Science & Engineering,All India,Open,249746,1221120
Round 1,St. Thomas College of Engineering & Technology,Computer Science & Engineering,All India,Open,3782,27800
Round 1,Techno International New Town,Computer Science & Engineering,All India,Open,45763,214510
Round 1,Swami Vivekananda University,Computer Science & Engineering,Home State,OBC - B,56302,95236
Round 1,Techno International New Town,Computer Science & Engineering,All India,Open,8457,43540
Round 1,Jis University,Computer Science & Engineering,Home State,SC,60950,94099
Round 1,Seacom Skills University,Computer Science & Engineering,All India,Open,313991,1318612
Round 1,Heritage Institute of Technology,Computer Science & Engineering,Home State,SC,4033,4033
Round 1,Institute of Science and Technology,Computer Science & Engineering,All India,Open,5138,71450
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,Tuition Fee Waiver,5179,5768
Round 1,Seacom Engineering College,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,Tuition Fee Waiver,40505,40505
Round 1,Future Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,Tuition Fee Waiver,31854,33677
Round 1,Heritage Institute of Technology,Computer Science & Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),Home State,Tuition Fee Waiver,4396,4582
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,4676,6294
Round 1,Techno International New Town,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,19942,21714
Round 1,Netaji Subhas Engineering College,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,9844,11587
Round 1,Sister Nivedita University,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,24807,28165
Round 1,Techno International Batanagar,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,25938,36720
Round 1,Meghnad Saha Institute of Technology,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,15960,17177
Round 1,Techno Main Salt Lake,Computer Science & Engineering (IOT) - TFW,Home State,Tuition Fee Waiver,6847,7224
Round 1,Bengal Institute of Technology,Information Technology,All India,Open,358184,710770
Round 1,Calcutta Institute of Engineering & Management,Information Technology,Home State,EWS,79112,79112
Round 1,Dr. B. C. Roy Engineering College,Information Technology,All India,Open,219153,326645
Round 1,Future Institute of Engineering & Management,Information Technology,All India,Open,242173,546499
Round 1,Jadavpur University,Information Technology,Home State,SC (PwD),24794,24794
Round 1,University Of Calcutta,Information Technology,Home State,ST,20609,23170
Round 1,UNIVERSITY OF KALYANI,Information Technology,Home State,EWS,7830,10122
Round 1,Jalpaiguri Goverment Engineering College,Information Technology,Home State,ST,23235,36067
Round 1,Calcutta Institute of Engineering & Management,Information Technology,All India,Open,130305,195970
Round 1,Jis College of Engineering,Information Technology,All India,Open,6194,522569
Round 1,Meghnad Saha Institute of Technology,Information Technology,All India,Open,25247,41488
Round 1,Techno International New Town,Information Technology,All India,Open,131977,432598
Round 1,Techno Main Salt Lake,Information Technology,All India,Open,5423,9833
Round 1,Techno India University,Electronics & Communication Engineering,All India,Open,98682,134339
Round 1,UNIVERSITY OF KALYANI,Electronics & Communication Engineering,Home State,SC,11274,14996
Round 1,Aliah University,Electronics & Communication Engineering,Home State,Open,3132,7202
Round 1,Asansol Engineering College,Electronics & Communication Engineering,All India,Open,16352,110141
Round 1,Camellia School of Engineering & Technology,Electronics & Communication Engineering,All India,Open,85492,85492
Round 1,Haldia Institute of Technology,Electronics & Communication Engineering,All India,Open,34218,47068
Round 1,Narula Institute of Technology,Electronics & Communication Engineering,Home State,SC,47495,50510
Round 1,Netaji Subhas Engineering College,Electronics & Communication Engineering,Home State,EWS,58657,84379
Round 1,University Of Calcutta,Electronics & Communication Engineering,Home State,SC,3815,6914
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electronics & Communication Engineering,Home State,OBC - B,12857,13258
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electronics & Communication Engineering,Home State,EWS,14316,23241
Round 1,Cooch Behar Government Engineering College,Electronics & Communication Engineering,Home State,Open (PwD),106825,106825
Round 1,Asansol Engineering College,Electronics & Communication Engineering,All India,Open,193523,411235
Round 1,Bengal Institute of Technology,Electronics & Communication Engineering,All India,Open,996411,1043341
Round 1,Dr. B. C. Roy Engineering College,Electronics & Communication Engineering,All India,Open,94975,517982
Round 1,Future Institute of Engineering & Management,Electronics & Communication Engineering,All India,Open,315285,1130926
Round 1,Haldia Institute of Technology,Electronics & Communication Engineering,Home State,EWS,27523,110423
Round 1,University Of Calcutta,Electronics & Communication Engineering,Home State,ST,21895,26475
Round 1,UNIVERSITY OF KALYANI,Electronics & Communication Engineering,Home State,OBC - B,3642,3877
Round 1,Kalyani Goverment Engineering College,Electronics & Communication Engineering,Home State,OBC - A,5195,6963
Round 1,Budge Budge Institute of Technology,Electronics & Communication Engineering,All India,Open,1119858,1304280
Round 1,Heritage Institute of Technology,Electronics & Communication Engineering,Home State,EWS,9879,25979
Round 1,University Of Calcutta,Electronics & Communication Engineering,All India,Open,710,994
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electronics & Communication Engineering,Home State,ST,76530,78510
Round 1,Jadavpur University,Civil Engineering,Home State,Open (PwD),51523,64274
Round 1,Aliah University,Civil Engineering,Home State,Open,5886,15827
Round 1,Techno Main Salt Lake,Civil Engineering,Home State,EWS,87805,100562
Round 1,Swami Vivekananda University,Civil Engineering,All India,Open,884684,1279620
Round 1,Jadavpur University,B.Pharm/Pharmaceutical Technology,Home State,Tuition Fee Waiver,2333,3036
Round 1,Institute of Pharmacy,B.Pharm/Pharmaceutical Technology,Home State,Tuition Fee Waiver,2202,3085
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),Home State,EWS,9450,16472
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),Home State,OBC - A,11246,14225
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),Home State,OBC - B,10734,10844
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),Home State,SC,15854,18488
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),Home State,ST,50445,63968
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,ARTIFICIAL INTELLIGENCE (AI),Home State,Open (PwD),52621,52621
